location,total_cases,total_deaths,total_recovered,active_cases,date
Luxembourg,74262,824,72536,902,07-08-2021
Senegal,66898,1467,50101,15330,07-08-2021
Singapore,65686,42,63658,1986,07-08-2021
Malawi,55699,1805,41073,12821,07-08-2021
Jamaica,54480,1219,47192,6069,07-08-2021
DRC,51523,1048,30189,20286,07-08-2021
Ivory Coast,51028,338,49789,901,07-08-2021
Angola,43487,1042,40012,2433,07-08-2021
Madagascar,42685,943,41177,565,07-08-2021
Réunion,40245,288,35563,4394,07-08-2021
Trinidad and Tobago,39577,1117,32637,5823,07-08-2021
Sudan,37138,2776,30867,3495,07-08-2021
Fiji,36322,296,11798,24228,07-08-2021
Australia,36051,939,30462,4650,07-08-2021
Malta,34787,424,32909,1454,07-08-2021
Cape Verde,33976,298,33230,448,07-08-2021
French Guiana,30875,193,9995,20687,07-08-2021
Eswatini,30377,835,22796,6746,07-08-2021
Mauritania,27596,592,23228,3776,07-08-2021
Guinea,26630,248,24669,1713,07-08-2021
Syria,26071,1919,22034,2118,07-08-2021
Suriname,25853,659,22106,3088,07-08-2021
Gabon,25462,165,25248,49,07-08-2021
Guadeloupe,23821,247,2250,21324,07-08-2021
Martinique,23029,129,104,22796,07-08-2021
Guyana,22843,554,21512,777,07-08-2021
French Polynesia,22459,157,19825,2477,07-08-2021
Haiti,20363,566,15110,4687,07-08-2021
Mayotte,19531,174,2964,16393,07-08-2021
Seychelles,18582,94,17992,496,07-08-2021
Papua New Guinea,17774,192,17384,198,07-08-2021
Togo,16559,156,14785,1618,07-08-2021
Taiwan,15775,806,14307,662,07-08-2021
Somalia,15735,837,7695,7203,07-08-2021
Tajikistan,15513,122,15036,355,07-08-2021
Bahamas,15419,295,12824,2300,07-08-2021
Andorra,14836,128,14444,264,07-08-2021
Mali,14637,534,13985,118,07-08-2021
Belize,14438,339,13622,477,07-08-2021
Curaçao,13988,131,13297,560,07-08-2021
Burkina Faso,13610,169,13391,50,07-08-2021
Lesotho,13603,377,6664,6562,07-08-2021
Congo,13216,178,12421,617,07-08-2021
Aruba,12262,111,11397,754,07-08-2021
Hong Kong,12012,212,11725,75,07-08-2021
Djibouti,11659,156,11495,8,07-08-2021
Timor-Leste,11475,26,10114,1335,07-08-2021
South Sudan,11100,120,10514,466,07-08-2021
Nicaragua,9853,196,4225,5432,07-08-2021
Channel Islands,9595,91,8693,811,07-08-2021
Equatorial Guinea,8940,123,8730,87,07-08-2021
Iceland,8738,30,7254,1454,07-08-2021
Benin,8608,110,8136,362,07-08-2021
Gambia,8603,242,7536,825,07-08-2021
Laos,8132,8,3946,4178,07-08-2021
Burundi,8088,38,773,7277,07-08-2021
CAR,7151,98,6859,194,07-08-2021
Yemen,7131,1384,4305,1442,07-08-2021
Eritrea,6576,35,6487,54,07-08-2021
Sierra Leone,6310,120,4299,1891,07-08-2021
Saint Lucia,5713,90,5416,207,07-08-2021
Niger,5676,196,5359,121,07-08-2021
Liberia,5459,148,2715,2596,07-08-2021
Isle of Man,5337,33,4321,983,07-08-2021
San Marino,5147,90,5009,48,07-08-2021
Gibraltar,5116,95,4771,250,07-08-2021
Chad,4977,174,4796,7,07-08-2021
Guinea-Bissau,4702,79,4099,524,07-08-2021
Mauritius,4592,20,1854,2718,07-08-2021
Barbados,4455,48,4310,97,07-08-2021
Comoros,4031,147,3875,9,07-08-2021
Liechtenstein,3099,59,3022,18,07-08-2021
Monaco,2973,33,2790,150,07-08-2021
Sint Maarten,2924,34,2703,187,07-08-2021
New Zealand,2880,26,2824,30,07-08-2021
Saint Martin,2713,39,1399,1275,07-08-2021
Bermuda,2614,33,2510,71,07-08-2021
Bhutan,2544,2,2460,82,07-08-2021
Turks and Caicos,2514,18,2439,57,07-08-2021
British Virgin Islands,2500,31,1914,555,07-08-2021
Sao Tome and Principe,2470,37,2372,61,07-08-2021
St. Vincent Grenadines,2298,12,2233,53,07-08-2021
Caribbean Netherlands,1715,17,1673,25,07-08-2021
St. Barth,1336,2,462,872,07-08-2021
Antigua and Barbuda,1328,43,1246,39,07-08-2021
Tanzania,1017,21,183,813,07-08-2021
Faeroe Islands,987,2,963,22,07-08-2021
Diamond Princess,712,13,699,0,07-08-2021
Cayman Islands,646,2,639,5,07-08-2021
Saint Kitts and Nevis,611,3,558,50,07-08-2021
Wallis and Futuna,445,7,438,0,07-08-2021
Brunei,339,3,289,47,07-08-2021
Dominica,218,0,209,9,07-08-2021
Greenland,168,0,101,67,07-08-2021
Grenada,164,1,161,2,07-08-2021
New Caledonia,134,0,58,76,07-08-2021
Anguilla,113,0,111,2,07-08-2021
Falkland Islands,66,0,63,3,07-08-2021
Macao,63,0,57,6,07-08-2021
Saint Pierre Miquelon,28,0,26,2,07-08-2021
Vatican City,27,0,27,0,07-08-2021
Montserrat,22,1,20,1,07-08-2021
Solomon Islands,20,0,20,0,07-08-2021
Western Sahara,10,1,8,1,07-08-2021
MS Zaandam,9,2,7,0,07-08-2021
Vanuatu,4,1,3,0,07-08-2021
Marshall Islands,4,0,4,0,07-08-2021
Samoa,3,0,3,0,07-08-2021
Saint Helena,2,0,2,0,07-08-2021
Micronesia,1,0,1,0,07-08-2021
China,93605,4636,87525,1444,07-08-2021
United States,36519801,632995,29851804,6035002,08-08-2021
India,31944077,428072,31102724,413281,08-08-2021
Brazil,20151779,563082,18894631,694066,08-08-2021
Russia,6447750,164881,5755507,527362,08-08-2021
France,6284708,112190,5755540,416978,08-08-2021
United Kingdom,6069362,130320,4642198,1296844,08-08-2021
Turkey,5895841,52088,5498520,345233,08-08-2021
Argentina,5012754,107302,4658028,247424,08-08-2021
Colombia,4834634,122277,4643087,69270,08-08-2021
Spain,4588132,82006,3784544,721582,08-08-2021
Italy,4396417,128220,4155931,112266,08-08-2021
Iran,4158729,94015,3539035,525679,08-08-2021
Germany,3796299,92279,3665400,38620,08-08-2021
Indonesia,3666031,107096,3084702,474233,08-08-2021
Mexico,2964244,244248,2312326,407670,08-08-2021
Poland,2884098,75285,2654483,154330,08-08-2021
South Africa,2533466,74813,2297974,160679,08-08-2021
Ukraine,2259151,53095,2190921,15135,08-08-2021
Peru,2124128,196873,0,0,08-08-2021
Netherlands,1885805,17869,1690970,176966,08-08-2021
Iraq,1712709,19203,1529053,164453,08-08-2021
Czechia,1674906,30363,1642165,2378,08-08-2021
Philippines,1658916,29122,1552278,77516,08-08-2021
Chile,1623363,36016,1579137,8210,08-08-2021
Canada,1438642,26669,1401714,10259,08-08-2021
Bangladesh,1353695,22652,1205447,125596,08-08-2021
Malaysia,1262540,10749,1026398,225393,08-08-2021
Belgium,1136726,25268,1063847,47611,08-08-2021
Sweden,1104538,14620,1078132,11786,08-08-2021
Romania,1084919,34316,1048548,2055,08-08-2021
Pakistan,1067580,23865,961639,82076,08-08-2021
Japan,1016781,15273,881608,119900,08-08-2021
Portugal,986967,17467,924567,44933,08-08-2021
Israel,899920,6541,863268,30111,08-08-2021
Hungary,809855,30033,752709,27113,08-08-2021
Jordan,777164,10127,754856,12181,08-08-2021
Thailand,756505,6204,535515,214786,08-08-2021
Serbia,725702,7139,711871,6692,08-08-2021
Switzerland,723968,10909,693449,19610,08-08-2021
Nepal,714877,10093,669299,35485,08-08-2021
Morocco,696282,10335,612390,73557,08-08-2021
