location,total_cases,total_deaths,total_recovered,active_cases,date
Eswatini,48358,1248,45284,1826,08-12-2021
French Polynesia,46324,636,0,0,08-12-2021
French Guiana,46261,329,11254,34678,08-12-2021
Martinique,45501,718,104,44679,08-12-2021
Madagascar,44800,972,43119,709,08-12-2021
Sudan,44170,3200,35786,5184,08-12-2021
Malta,40188,468,37945,1775,08-12-2021
Mauritania,39621,844,38058,719,08-12-2021
Cape Verde,38460,351,37984,125,08-12-2021
Guyana,38261,1009,36319,933,08-12-2021
Gabon,37511,281,33424,3806,08-12-2021
Papua New Guinea,35662,573,34645,444,08-12-2021
Belize,30888,582,29342,964,08-12-2021
Guinea,30798,388,29753,657,08-12-2021
Togo,26326,243,25929,154,08-12-2021
Barbados,26306,240,23679,2387,08-12-2021
Tanzania,26270,730,0,0,08-12-2021
Haiti,25638,750,21746,3142,08-12-2021
Benin,24863,161,24546,156,08-12-2021
Seychelles,23537,127,22912,498,08-12-2021
Somalia,23051,1331,12325,9395,08-12-2021
Bahamas,22846,705,21644,497,08-12-2021
Mauritius,22251,455,20511,1285,08-12-2021
Lesotho,21838,663,13741,7434,08-12-2021
Mayotte,21043,185,2964,17894,08-12-2021
Burundi,20523,38,773,19712,08-12-2021
Timor-Leste,19829,122,19702,5,08-12-2021
Channel Islands,19706,105,17421,2180,08-12-2021
Congo,19066,359,12421,6286,08-12-2021
Iceland,18896,35,17538,1323,08-12-2021
Andorra,18815,133,16582,2100,08-12-2021
Mali,18112,619,15345,2148,08-12-2021
Curaçao,17502,180,17220,102,08-12-2021
Nicaragua,17328,210,4225,12893,08-12-2021
Tajikistan,17095,124,16966,5,08-12-2021
Taiwan,16688,848,15658,182,08-12-2021
Aruba,16505,176,16136,193,08-12-2021
Burkina Faso,16334,290,15604,440,08-12-2021
Brunei,15244,98,15028,118,08-12-2021
Equatorial Guinea,13599,175,13346,78,08-12-2021
Djibouti,13509,188,13295,26,08-12-2021
Saint Lucia,13060,283,12666,111,08-12-2021
South Sudan,12826,133,12463,230,08-12-2021
New Zealand,12516,44,6009,6463,08-12-2021
Hong Kong,12472,213,12153,106,08-12-2021
New Caledonia,12321,280,11825,216,08-12-2021
Isle of Man,12230,66,11059,1105,08-12-2021
CAR,11742,101,6859,4782,08-12-2021
Yemen,10047,1956,6928,1163,08-12-2021
Gambia,9998,342,9641,15,08-12-2021
Cayman Islands,7724,9,4070,3645,08-12-2021
Eritrea,7533,62,7322,149,08-12-2021
Gibraltar,7436,100,7032,304,08-12-2021
Niger,7099,265,6751,83,08-12-2021
